Date,ASII.JK,BBCA.JK,BBRI.JK,BMRI.JK,EXCL.JK,ICBP.JK,INDF.JK,KLBF.JK,TLKM.JK,UNVR.JK
2020-01-02,4415.80322265625,5540.17138671875,2680.163818359375,2521.126708984375,2685.775634765625,9761.5068359375,6266.50830078125,1431.437255859375,2864.556396484375,6763.01904296875
2020-01-03,4463.97607421875,5631.26513671875,2686.2412109375,2512.993896484375,2677.408935546875,9849.0556640625,6305.796875,1449.1640625,2915.83984375,6782.79345703125
2020-01-06,4335.51611328125,5577.4384765625,2655.853515625,2472.330322265625,2710.87646484375,10067.921875,6286.15283203125,1453.5958251953125,2901.187255859375,6703.69384765625
2020-01-07,4351.57373046875,5581.57861328125,2674.086181640625,2472.330322265625,2719.243408203125,10067.921875,6443.306640625,1449.1640625,2886.534912109375,6683.91943359375
2020-01-08,4351.57373046875,5531.89111328125,2661.93115234375,2439.7998046875,2761.07763671875,10111.6953125,6462.95068359375,1404.846923828125,2857.22998046875,6585.04443359375
2020-01-09,4415.80322265625,5581.57861328125,2674.086181640625,2504.861083984375,2752.711181640625,10089.8095703125,6482.59521484375,1418.1422119140625,2901.187255859375,6604.8193359375
2020-01-10,4383.689453125,5569.15576171875,2680.163818359375,2512.993896484375,2752.711181640625,10089.8095703125,6482.59521484375,1418.1422119140625,2915.83984375,6525.71923828125
2020-01-13,4447.91796875,5585.71875,2740.938232421875,2512.993896484375,2769.44482421875,10111.6953125,6404.017578125,1418.1422119140625,2952.470947265625,6644.36962890625
2020-01-14,4608.4931640625,5689.23486328125,2777.40283203125,2521.126708984375,2786.1787109375,10155.4697265625,6384.37353515625,1404.846923828125,2893.861083984375,6703.69384765625
2020-01-15,4624.55029296875,5660.25048828125,2783.480712890625,2488.595703125,2719.243408203125,10046.0361328125,6325.44091796875,1400.415283203125,2842.57763671875,6703.69384765625
2020-01-16,4576.3779296875,5672.6728515625,2777.40283203125,2456.06494140625,2786.1787109375,10155.4697265625,6423.66259765625,1475.754150390625,2820.598876953125,6664.14501953125
2020-01-17,4544.26318359375,5693.37451171875,2813.86767578125,2512.993896484375,2811.279541015625,10133.5830078125,6482.59521484375,1431.437255859375,2791.2939453125,6644.36962890625
2020-01-20,4496.09033203125,5660.25048828125,2832.100830078125,2480.463134765625,2811.279541015625,10155.4697265625,6482.59521484375,1435.868896484375,2791.2939453125,6585.04443359375
2020-01-21,4512.14794921875,5656.10986328125,2838.177734375,2504.861083984375,2761.07763671875,10243.0166015625,6482.59521484375,1427.0054931640625,2849.903564453125,6585.04443359375
2020-01-22,4496.09033203125,5664.39208984375,2862.488037109375,2537.391845703125,2677.408935546875,10286.791015625,6325.44091796875,1409.27880859375,2827.92529296875,6565.27001953125
